ITEM NO.,CATEGORY ,ITEM,Sub category,TABS,Food type/Legends,PRICING,NUTRITIONAL VALUE ,,,,MF,DESCRIPTION,PHOTO LINK,PROTOTYPE,PRE PRODUCTION,PLATING ,CUTLERY IN HOUSE,PHOTO// MENU DESIGN,DELIVERY STANDARDISATION,DELIVERY Packaging READY,PRINT 
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CALORIES,PROTEINS,FATS,CARBS,,,,,,,,,,,
1,TOAST,mushroom toast,Toast - 4,TOAST,vegan,189,239 kcal,8 gm,10.5 gm,28 gm,,"Sourdough toast, babaganoush, roasted mushrooms, pesto and micro greens",https://drive.google.com/drive/folders/1YNxCVds-EMBkP602bzm2bzEPO3N4Gy9K,,,flat blue plate ,IRKE 20 pcs,,deliverable,NO,
2,,Avacado Toast ,,,veg,180//220,285/350 kcal,7.2/ 13.2 gm,17/22 gm,25 gm,,"Sourdough toast , avacado guac,fetta cheese, micro greens and chilli oil/ poached egg optional",https://drive.google.com/drive/folders/191_hU50LEH4vcfaNFOSrhyz3LB23haQm,,,flat blue plate ,,,deliverable,NO,
3,,pesto ricotta/cream cheese ,,,veg,170,214 kcal,7.5,9 gm,25gm,,"Sour dough toast, cream cheese, pesto, roasted beetroot, radish, micro greens",https://drive.google.com/drive/folders/1NsKaNeZZvi-loYS67stDUd-_RtElZDBq,,,flat blue plate ,,,deliverable,NO,
4,,Burratta bruchetta ,,,veg,199,191 kcal,7 gm,6.6 gm,25 gm,,"Sour Dough toast, burrata cheese, roasted cherry tomatoes , balsamic dressing and fresh basil",https://drive.google.com/drive/folders/1NsKaNeZZvi-loYS67stDUd-_RtElZDBq,,,flat blue plate ,,,deliverable,NO,
5,ALL DAY  BREAKFAST,muhamarra,,ADB ,vegan,250,360 kcal,8.2 gm,15 gm,47 gm,,"Roasted red pepper dip, with salad, smoked eggplant, vegan sour cream & chilli oil, served with a side of warm pita bread",https://drive.google.com/drive/folders/1uHSbbns_kbFzKByrDMkwbns6puT3v6DR,,,wide white plate,,,,,
6,,cilbir,,,veg/contains egg,290,391 kcal,20 gm,19 gm,32 gm,,"Turkish style poached eggs, on a bed of herbed yogurt, chilli oil and served with a side of warm pita bread",https://drive.google.com/drive/folders/1uHSbbns_kbFzKByrDMkwbns6puT3v6DR,,,wide white plate ,,,,,
7,,pancake,,,veg/ gluten free,380,295 kcal,6.3 gm,14.8 gm,36 gm,,"gluten free pancakes, topped with strawberry compote, chocolate, caramel with a side of fresh fruit .",https://drive.google.com/drive/folders/1URHC1G5ia2X20-_PlXddX7uxqoGOpH9v,,,wide white plate ,,,,,
8,,french toast,,,veg/contains egg,380,291,8.7 gm,10 gm,43 gm,,served with a side on lemon curd and fresh orange,https://drive.google.com/drive/folders/1fGQrsRox1nywuyu2aiGs2wSMKUzs1xw3,,,wide white plate ,,,,,
